group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Spanish,language,ItemKNN,0.004811204685460368,0.021821248494702853,0.01704030725162341,-0.017010043809242485,542,324535,40348,71,42,0.6728132561038199,0.3271867438961801,True,
Italian,language,ItemKNN,8.084572787079954e-05,0.01123042950150817,0.012990863171595222,-0.012910017443724423,465,191051,24104,46,1,0.6728132561038199,0.3271867438961801,True,
German,language,ItemKNN,0.0034049617297009,0.015225637869118019,0.017124113163996913,-0.013719151434296013,534,278263,34759,69,30,0.6728132561038199,0.3271867438961801,True,
Korean,language,ItemKNN,0.0,0.00047549069715123145,6.424778761061947e-05,-0.00047549069715123145,152,17434,2173,2,0,0.6728132561038199,0.3271867438961801,True,
Russian,language,ItemKNN,0.005050560396655962,0.0056296219394734,0.004821149802460398,-0.0005790615428174373,225,126389,15859,31,39,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,ItemKNN,0.0,0.0011272892802239491,0.0018543806234601794,-0.0018543806234601794,138,35800,4516,10,0,0.6728132561038199,0.3271867438961801,True,
Hindi,language,ItemKNN,0.0,0.0010074760109972148,0.0006232364634228669,-0.0010074760109972148,125,16793,2168,6,0,0.6728132561038199,0.3271867438961801,True,
Swedish,language,ItemKNN,0.0,0.0007279569222875987,0.0014182373835511988,-0.0014182373835511988,132,24210,3064,11,0,0.6728132561038199,0.3271867438961801,True,
Finnish,language,ItemKNN,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,ItemKNN,0.0029028575440078765,0.0023794106834011813,0.0024160919654138153,0.00048676557859406123,87,45456,5797,16,31,0.6728132561038199,0.3271867438961801,True,
Danish,language,ItemKNN,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
