group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Unknown Europe,region,CLIP-image-content,0.672019514431279,0.7992692763602832,0.7990645338265387,-0.12724976192900417,21454,11692726,1463004,393,5621,0.6847642789060782,0.31523572109392184,True,
Balkans,region,Hybrid,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,Hybrid,0.002006235870252612,0.00294408122013433,0.003516310495314717,-0.001510074625062105,310,74237,9285,23,15,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,Hybrid,0.013151124016731162,0.007227102432077279,0.009638894773741899,0.003512229242989263,179,131381,16318,38,101,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,Hybrid,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,Hybrid,0.044935231504480165,0.043141427774692855,0.04688649004265924,-0.001951258538179075,1820,797730,98882,145,383,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,Hybrid,0.035620566744559316,0.03513350590858267,0.034455900273521425,0.0004870608359766465,1135,725483,90889,117,311,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,Hybrid,0.02320526261519026,0.020424471263640744,0.021991696261056178,0.0012135663541340824,805,325019,40529,81,187,0.6847642789060782,0.31523572109392184,True,
Nordics,region,Hybrid,0.0010389928882032055,0.0015828559600127813,0.0027204134185475353,-0.0016814205303443297,471,69670,8609,18,9,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,Hybrid,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,Hybrid,0.0023021180955816096,0.0037052399984905393,0.006318118948888027,-0.004016000853306417,410,116068,14215,28,19,0.6847642789060782,0.31523572109392184,True,
UK/Ireland,region,Hybrid,0.10607610626800405,0.1342019407172073,0.1273718137334271,-0.02812583444920326,2536,2144160,266804,231,871,0.6847642789060782,0.31523572109392184,True,
Unknown Europe,region,Hybrid,0.8177108023811521,0.7992692763602832,0.7990645338265387,0.018441526020868904,21454,11692726,1463004,393,6501,0.6847642789060782,0.31523572109392184,True,
