group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Poland,country,SVD,0.0004971621359564037,0.0019503540679978834,0.0033526944434510986,-0.0028555323074946947,76,31766,3960,13,5,0.6847642789060782,0.31523572109392184,True,
Norway,country,SVD,0.0003091079180221113,0.0008582305041414256,0.0011111761909202674,-0.0008020682728981561,85,21350,2614,9,3,0.6847642789060782,0.31523572109392184,True,
Austria,country,SVD,0.0012922317700125086,0.0019057577033846612,0.0018624158226301702,-0.0006135259333721525,77,23470,2877,12,13,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,SVD,0.0,0.0014657561340548617,0.002358400412918458,-0.002358400412918458,95,35282,4459,14,0,0.6847642789060782,0.31523572109392184,True,
Romania,country,SVD,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
Unknown country,country,SVD,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
United Kingdom,country,MPNet-content,0.09230148765909094,0.13408533501525785,0.1271008472470292,-0.041783847356166914,2480,2135271,265749,231,822,0.6847642789060782,0.31523572109392184,True,
France,country,MPNet-content,0.0793329113104814,0.043141427774692855,0.04688649004265924,0.032446421267822156,1820,797730,98882,145,733,0.6847642789060782,0.31523572109392184,True,
Germany,country,MPNet-content,0.05156778279508663,0.03228676809990919,0.031164293836632346,0.019281014695177436,1038,682445,85509,111,479,0.6847642789060782,0.31523572109392184,True,
Italy,country,MPNet-content,0.014379739556871461,0.020264729775575554,0.021971696261056183,-0.007591956704184721,804,320173,39914,81,122,0.6847642789060782,0.31523572109392184,True,
Spain,country,MPNet-content,0.0030160898262029555,0.0037052399984905393,0.006318118948888027,-0.003302029122685072,390,115625,14171,28,24,0.6847642789060782,0.31523572109392184,True,
Sweden,country,MPNet-content,0.0,0.0009651208898595118,0.0017639173176521854,-0.0017639173176521854,218,44720,5581,12,0,0.6847642789060782,0.31523572109392184,True,
Finland,country,MPNet-content,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,MPNet-content,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,MPNet-content,0.0008534454754541271,0.0019216597248786938,0.0014573064013562382,-0.0010682142494245666,180,30003,3819,9,9,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,MPNet-content,9.905266763953899e-05,0.0009476476651355339,0.002396146951101336,-0.0022970942834617974,124,36626,4628,17,1,0.6847642789060782,0.31523572109392184,True,
Ireland,country,MPNet-content,0.01264618186537863,0.003858708552644462,0.00258745611111878,0.008787473312734167,129,78690,9851,19,101,0.6847642789060782,0.31523572109392184,True,
Russia,country,MPNet-content,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
Poland,country,MPNet-content,0.0,0.0019503540679978834,0.0033526944434510986,-0.0033526944434510986,76,31766,3960,13,0,0.6847642789060782,0.31523572109392184,True,
Norway,country,MPNet-content,0.0001826463961013227,0.0008582305041414256,0.0011111761909202674,-0.0009285297948189447,85,21350,2614,9,2,0.6847642789060782,0.31523572109392184,True,
Austria,country,MPNet-content,0.0,0.0019057577033846612,0.0018624158226301702,-0.0019057577033846612,77,23470,2877,12,0,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,MPNet-content,0.0,0.0014657561340548617,0.002358400412918458,-0.002358400412918458,95,35282,4459,14,0,0.6847642789060782,0.31523572109392184,True,
Romania,country,MPNet-content,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
Unknown country,country,MPNet-content,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
United Kingdom,country,CLIP-image-content,0.2990662465961635,0.13408533501525785,0.1271008472470292,0.16498091158090564,2480,2135271,265749,231,2076,0.6847642789060782,0.31523572109392184,True,
France,country,CLIP-image-content,0.01779232972541413,0.043141427774692855,0.04688649004265924,-0.02909416031724511,1820,797730,98882,145,171,0.6847642789060782,0.31523572109392184,True,
Germany,country,CLIP-image-content,0.03584750870260259,0.03228676809990919,0.031164293836632346,0.003560740602693395,1038,682445,85509,111,358,0.6847642789060782,0.31523572109392184,True,
Italy,country,CLIP-image-content,0.07109668562524263,0.020264729775575554,0.021971696261056183,0.049124989364186446,804,320173,39914,81,404,0.6847642789060782,0.31523572109392184,True,
Spain,country,CLIP-image-content,0.0,0.0037052399984905393,0.006318118948888027,-0.006318118948888027,390,115625,14171,28,0,0.6847642789060782,0.31523572109392184,True,
Sweden,country,CLIP-image-content,0.0,0.0009651208898595118,0.0017639173176521854,-0.0017639173176521854,218,44720,5581,12,0,0.6847642789060782,0.31523572109392184,True,
Finland,country,CLIP-image-content,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,CLIP-image-content,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,CLIP-image-content,0.009680401200504486,0.0019216597248786938,0.0014573064013562382,0.007758741475625793,180,30003,3819,9,101,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,CLIP-image-content,0.0,0.0009476476651355339,0.002396146951101336,-0.002396146951101336,124,36626,4628,17,0,0.6847642789060782,0.31523572109392184,True,
Ireland,country,CLIP-image-content,0.02107342986204083,0.003858708552644462,0.00258745611111878,0.017214721309396365,129,78690,9851,19,212,0.6847642789060782,0.31523572109392184,True,
Russia,country,CLIP-image-content,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
Poland,country,CLIP-image-content,0.0,0.0019503540679978834,0.0033526944434510986,-0.0033526944434510986,76,31766,3960,13,0,0.6847642789060782,0.31523572109392184,True,
Norway,country,CLIP-image-content,0.0,0.0008582305041414256,0.0011111761909202674,-0.0011111761909202674,85,21350,2614,9,0,0.6847642789060782,0.31523572109392184,True,
